['Dataset: stress_v_all_dict', 'C: 250', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 100', 'Gamma: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_all_dict', 'C: 100', 'Gamma: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_all_dict', 'C: 100', 'Gamma: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_all_dict', 'C: 100', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: stress_v_all_dict', 'C: 100', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: stress_v_all_dict', 'C: 100', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 100', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 50', 'Gamma: 0.01', 'Score Train Data: 0.961', 'Score Test Data: 1.000']
['Dataset: stress_v_all_dict', 'C: 50', 'Gamma: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_all_dict', 'C: 50', 'Gamma: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_all_dict', 'C: 50', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: stress_v_all_dict', 'C: 50', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: stress_v_all_dict', 'C: 50', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 50', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 25', 'Gamma: 0.01', 'Score Train Data: 0.961', 'Score Test Data: 0.962']
['Dataset: stress_v_all_dict', 'C: 25', 'Gamma: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_all_dict', 'C: 25', 'Gamma: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_all_dict', 'C: 25', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: stress_v_all_dict', 'C: 25', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: stress_v_all_dict', 'C: 25', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 25', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 10', 'Gamma: 0.01', 'Score Train Data: 0.934', 'Score Test Data: 0.962']
['Dataset: stress_v_all_dict', 'C: 10', 'Gamma: 0.05', 'Score Train Data: 0.961', 'Score Test Data: 1.000']
['Dataset: stress_v_all_dict', 'C: 10', 'Gamma: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_all_dict', 'C: 10', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: stress_v_all_dict', 'C: 10', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: stress_v_all_dict', 'C: 10', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 10', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 5', 'Gamma: 0.01', 'Score Train Data: 0.842', 'Score Test Data: 0.923']
['Dataset: stress_v_all_dict', 'C: 5', 'Gamma: 0.05', 'Score Train Data: 0.961', 'Score Test Data: 1.000']
['Dataset: stress_v_all_dict', 'C: 5', 'Gamma: 0.1', 'Score Train Data: 0.974', 'Score Test Data: 1.000']
['Dataset: stress_v_all_dict', 'C: 5', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: stress_v_all_dict', 'C: 5', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: stress_v_all_dict', 'C: 5', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 5', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 3', 'Gamma: 0.01', 'Score Train Data: 0.763', 'Score Test Data: 0.808']
['Dataset: stress_v_all_dict', 'C: 3', 'Gamma: 0.05', 'Score Train Data: 0.934', 'Score Test Data: 0.962']
['Dataset: stress_v_all_dict', 'C: 3', 'Gamma: 0.1', 'Score Train Data: 0.961', 'Score Test Data: 1.000']
['Dataset: stress_v_all_dict', 'C: 3', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: stress_v_all_dict', 'C: 3', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: stress_v_all_dict', 'C: 3', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 3', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 1', 'Gamma: 0.01', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 1', 'Gamma: 0.05', 'Score Train Data: 0.803', 'Score Test Data: 0.846']
['Dataset: stress_v_all_dict', 'C: 1', 'Gamma: 0.1', 'Score Train Data: 0.934', 'Score Test Data: 0.962']
['Dataset: stress_v_all_dict', 'C: 1', 'Gamma: 0.5', 'Score Train Data: 0.947', 'Score Test Data: 0.885']
['Dataset: stress_v_all_dict', 'C: 1', 'Gamma: 1.0', 'Score Train Data: 0.974', 'Score Test Data: 0.885']
['Dataset: stress_v_all_dict', 'C: 1', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 1', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 0.1', 'Gamma: 0.01', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 0.1', 'Gamma: 0.05', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 0.1', 'Gamma: 0.1', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 0.1', 'Gamma: 0.5', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 0.1', 'Gamma: 1.0', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 0.1', 'Gamma: 5.0', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 0.1', 'Gamma: 10.0', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 0.01', 'Gamma: 0.01', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 0.01', 'Gamma: 0.05', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 0.01', 'Gamma: 0.1', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 0.01', 'Gamma: 0.5', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 0.01', 'Gamma: 1.0', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 0.01', 'Gamma: 5.0', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 0.01', 'Gamma: 10.0', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 0.001', 'Gamma: 0.01', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 0.001', 'Gamma: 0.05', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 0.001', 'Gamma: 0.1', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 0.001', 'Gamma: 0.5', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 0.001', 'Gamma: 1.0', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 0.001', 'Gamma: 5.0', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'C: 0.001', 'Gamma: 10.0', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
[]
['Dataset: stress_v_rest_dict', 'C: 1000', 'Gamma: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'C: 1000', 'Gamma: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'C: 1000', 'Gamma: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'C: 1000', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.800']
['Dataset: stress_v_rest_dict', 'C: 1000', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.800']
['Dataset: stress_v_rest_dict', 'C: 1000', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 1000', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 750', 'Gamma: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'C: 750', 'Gamma: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'C: 750', 'Gamma: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'C: 750', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.800']
['Dataset: stress_v_rest_dict', 'C: 750', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.800']
['Dataset: stress_v_rest_dict', 'C: 750', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 750', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 500', 'Gamma: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'C: 500', 'Gamma: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'C: 500', 'Gamma: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'C: 500', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.800']
['Dataset: stress_v_rest_dict', 'C: 500', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.800']
['Dataset: stress_v_rest_dict', 'C: 500', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 500', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 250', 'Gamma: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'C: 250', 'Gamma: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'C: 250', 'Gamma: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'C: 250', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.800']
['Dataset: stress_v_rest_dict', 'C: 250', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.800']
['Dataset: stress_v_rest_dict', 'C: 250', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 250', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 100', 'Gamma: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'C: 100', 'Gamma: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'C: 100', 'Gamma: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'C: 100', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.800']
['Dataset: stress_v_rest_dict', 'C: 100', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.800']
['Dataset: stress_v_rest_dict', 'C: 100', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 100', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 50', 'Gamma: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'C: 50', 'Gamma: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'C: 50', 'Gamma: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'C: 50', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.800']
['Dataset: stress_v_rest_dict', 'C: 50', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.800']
['Dataset: stress_v_rest_dict', 'C: 50', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 50', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 25', 'Gamma: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.900']
['Dataset: stress_v_rest_dict', 'C: 25', 'Gamma: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'C: 25', 'Gamma: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'C: 25', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.800']
['Dataset: stress_v_rest_dict', 'C: 25', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.800']
['Dataset: stress_v_rest_dict', 'C: 25', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 25', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 10', 'Gamma: 0.01', 'Score Train Data: 0.964', 'Score Test Data: 0.900']
['Dataset: stress_v_rest_dict', 'C: 10', 'Gamma: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'C: 10', 'Gamma: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'C: 10', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.800']
['Dataset: stress_v_rest_dict', 'C: 10', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.800']
['Dataset: stress_v_rest_dict', 'C: 10', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 10', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 5', 'Gamma: 0.01', 'Score Train Data: 0.929', 'Score Test Data: 0.900']
['Dataset: stress_v_rest_dict', 'C: 5', 'Gamma: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.900']
['Dataset: stress_v_rest_dict', 'C: 5', 'Gamma: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.900']
['Dataset: stress_v_rest_dict', 'C: 5', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.800']
['Dataset: stress_v_rest_dict', 'C: 5', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.800']
['Dataset: stress_v_rest_dict', 'C: 5', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 5', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 3', 'Gamma: 0.01', 'Score Train Data: 0.821', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 3', 'Gamma: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.900']
['Dataset: stress_v_rest_dict', 'C: 3', 'Gamma: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.900']
['Dataset: stress_v_rest_dict', 'C: 3', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.800']
['Dataset: stress_v_rest_dict', 'C: 3', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.800']
['Dataset: stress_v_rest_dict', 'C: 3', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 3', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 1', 'Gamma: 0.01', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 1', 'Gamma: 0.05', 'Score Train Data: 0.929', 'Score Test Data: 0.900']
['Dataset: stress_v_rest_dict', 'C: 1', 'Gamma: 0.1', 'Score Train Data: 0.964', 'Score Test Data: 0.900']
['Dataset: stress_v_rest_dict', 'C: 1', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.800']
['Dataset: stress_v_rest_dict', 'C: 1', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.800']
['Dataset: stress_v_rest_dict', 'C: 1', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 1', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 0.1', 'Gamma: 0.01', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 0.1', 'Gamma: 0.05', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 0.1', 'Gamma: 0.1', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 0.1', 'Gamma: 0.5', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 0.1', 'Gamma: 1.0', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 0.1', 'Gamma: 5.0', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 0.1', 'Gamma: 10.0', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 0.01', 'Gamma: 0.01', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 0.01', 'Gamma: 0.05', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 0.01', 'Gamma: 0.1', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 0.01', 'Gamma: 0.5', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 0.01', 'Gamma: 1.0', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 0.01', 'Gamma: 5.0', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 0.01', 'Gamma: 10.0', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 0.001', 'Gamma: 0.01', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 0.001', 'Gamma: 0.05', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 0.001', 'Gamma: 0.1', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 0.001', 'Gamma: 0.5', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 0.001', 'Gamma: 1.0', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 0.001', 'Gamma: 5.0', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'C: 0.001', 'Gamma: 10.0', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
[]
['Dataset: stress_v_stress_dict', 'C: 1000', 'Gamma: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 1000', 'Gamma: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 1000', 'Gamma: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 1000', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 1000', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.286']
['Dataset: stress_v_stress_dict', 'C: 1000', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 1000', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 750', 'Gamma: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 750', 'Gamma: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 750', 'Gamma: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 750', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 750', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.286']
['Dataset: stress_v_stress_dict', 'C: 750', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 750', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 500', 'Gamma: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 500', 'Gamma: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 500', 'Gamma: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 500', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 500', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.286']
['Dataset: stress_v_stress_dict', 'C: 500', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 500', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 250', 'Gamma: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 250', 'Gamma: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 250', 'Gamma: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 250', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 250', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.286']
['Dataset: stress_v_stress_dict', 'C: 250', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 250', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 100', 'Gamma: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 100', 'Gamma: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 100', 'Gamma: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 100', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 100', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.286']
['Dataset: stress_v_stress_dict', 'C: 100', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 100', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 50', 'Gamma: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 50', 'Gamma: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 50', 'Gamma: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 50', 'Gamma: 0.5', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 50', 'Gamma: 1.0', 'Score Train Data: 1.000', 'Score Test Data: 0.286']
['Dataset: stress_v_stress_dict', 'C: 50', 'Gamma: 5.0', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 50', 'Gamma: 10.0', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 25', 'Gamma: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.286']
['Dataset: stress_v_stress_dict', 'C: 25', 'Gamma: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
['Dataset: stress_v_stress_dict', 'C: 25', 'Gamma: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.429']
