['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.005', 'Score Train Data: 0.868', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.0025', 'Score Train Data: 0.868', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.0015', 'Score Train Data: 0.868', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.001', 'Score Train Data: 0.868', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.005', 'Score Train Data: 0.868', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.0025', 'Score Train Data: 0.868', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.0015', 'Score Train Data: 0.868', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.001', 'Score Train Data: 0.868', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.005', 'Score Train Data: 0.868', 'Score Test Data: 0.885']
