['Dataset: emotion_v_all_dict', 'NumberOfEstimators: 1000', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.58']
[]
['Dataset: emotion_v_rest_dict', 'NumberOfEstimators: 5', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.90']
['Dataset: emotion_v_rest_dict', 'NumberOfEstimators: 5', 'MaxFeatures: 30', 'Score Train Data: 0.97', 'Score Test Data: 0.90']
['Dataset: emotion_v_rest_dict', 'NumberOfEstimators: 5', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.80']
['Dataset: emotion_v_rest_dict', 'NumberOfEstimators: 25', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.80']
['Dataset: emotion_v_rest_dict', 'NumberOfEstimators: 25', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.90']
['Dataset: emotion_v_rest_dict', 'NumberOfEstimators: 25', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.80']
['Dataset: emotion_v_rest_dict', 'NumberOfEstimators: 50', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.70']
['Dataset: emotion_v_rest_dict', 'NumberOfEstimators: 50', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.90']
['Dataset: emotion_v_rest_dict', 'NumberOfEstimators: 50', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.70']
['Dataset: emotion_v_rest_dict', 'NumberOfEstimators: 100', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.80']
['Dataset: emotion_v_rest_dict', 'NumberOfEstimators: 100', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.90']
['Dataset: emotion_v_rest_dict', 'NumberOfEstimators: 100', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.80']
['Dataset: emotion_v_rest_dict', 'NumberOfEstimators: 250', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.90']
['Dataset: emotion_v_rest_dict', 'NumberOfEstimators: 250', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.90']
['Dataset: emotion_v_rest_dict', 'NumberOfEstimators: 250', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.90']
['Dataset: emotion_v_rest_dict', 'NumberOfEstimators: 500', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.90']
['Dataset: emotion_v_rest_dict', 'NumberOfEstimators: 500', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.90']
['Dataset: emotion_v_rest_dict', 'NumberOfEstimators: 500', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.90']
['Dataset: emotion_v_rest_dict', 'NumberOfEstimators: 1000', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.90']
['Dataset: emotion_v_rest_dict', 'NumberOfEstimators: 1000', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.90']
['Dataset: emotion_v_rest_dict', 'NumberOfEstimators: 1000', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.90']
[]
['Dataset: emotion_v_emotion_dict', 'NumberOfEstimators: 5', 'MaxFeatures: 15', 'Score Train Data: 0.89', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'NumberOfEstimators: 5', 'MaxFeatures: 30', 'Score Train Data: 0.95', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'NumberOfEstimators: 5', 'MaxFeatures: 62', 'Score Train Data: 0.89', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'NumberOfEstimators: 25', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'NumberOfEstimators: 25', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'NumberOfEstimators: 25', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'NumberOfEstimators: 50', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.14']
['Dataset: emotion_v_emotion_dict', 'NumberOfEstimators: 50', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'NumberOfEstimators: 50', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'NumberOfEstimators: 100', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'NumberOfEstimators: 100', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'NumberOfEstimators: 100', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'NumberOfEstimators: 250', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'NumberOfEstimators: 250', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'NumberOfEstimators: 250', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'NumberOfEstimators: 500', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'NumberOfEstimators: 500', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'NumberOfEstimators: 500', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'NumberOfEstimators: 1000', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'NumberOfEstimators: 1000', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'NumberOfEstimators: 1000', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
[]
